collection,status,type,pid,handle,title
umd:2,Complete,UMD_TEI,umd:995,hdl:1903.1/307,The Monaco Building of the Paris 1889 Exposition
umd:2,Complete,UMD_TEI,umd:996,hdl:1903.1/294,Chicago 1893
umd:2,Complete,UMD_TEI,umd:997,hdl:1903.1/309,The Women's Pavilion
umd:2,Complete,UMD_TEI,umd:998,hdl:1903.1/275,"Richard Morris Hunt: Administration Building, Chicago, 1893."
umd:2,Complete,UMD_TEI,umd:999,hdl:1903.1/313,Manufactures Building
umd:3391,Complete,UMD_IMAGE,umd:3433,hdl:1903.1/1786,"Harry Clifton Byrd on Graduation Day, 1935"
umd:3391,Complete,UMD_IMAGE,umd:3437,hdl:1903.1/1788,"Maryland Football Team Photograph, 1954"
umd:3391,Complete,UMD_IMAGE,umd:3481,hdl:1903.1/1805,"Map of Campus, 1941"
umd:3391,Complete,UMD_IMAGE,umd:3483,hdl:1903.1/1806,"Map of Campus, 1934"
umd:3391,Complete,UMD_IMAGE,umd:3485,hdl:1903.1/1807,"Map of Campus, 1927"
umd:3391,Complete,UMD_IMAGE,umd:3565,hdl:1903.1/1847,"Actors Performing on Stage, ca. 1921-1940"
umd:3391,Complete,UMD_IMAGE,umd:3567,hdl:1903.1/1848,"Aerial View of University of Maryland, College Park from 2500 Feet, 26 December 1926"
umd:3391,Complete,UMD_IMAGE,umd:3579,hdl:1903.1/1854,"Junior Prom, 1923"
umd:3391,Complete,UMD_IMAGE,umd:3594,hdl:1903.1/1861,"Testudo Abductors Article, 1945"
umd:3391,Complete,UMD_IMAGE,umd:3600,hdl:1903.1/1864,"Adele Stamp, circa 1931-1940"
umd:3391,Complete,UMD_IMAGE,umd:3602,hdl:1903.1/1865,Stadium Entrance Construction
umd:3391,Complete,UMD_IMAGE,umd:3604,hdl:1903.1/1866,"Harry Clifton Byrd in Football Uniform, 1918"
umd:3391,Complete,UMD_IMAGE,umd:3606,hdl:1903.1/1867,"Morrill Hall, University of Maryland, 1935"
umd:3391,Complete,UMD_IMAGE,umd:3620,hdl:1903.1/1874,"Woman at registration with a Beanie cap, 1964"
umd:3391,Complete,UMD_IMAGE,umd:3630,hdl:1903.1/1879,"Students Re-capturing the Testudo Statue, 18 March 1949"
umd:3391,Complete,UMD_IMAGE,umd:3634,hdl:1903.1/1881,Basketball Game Day program cover for January - February 1990.
umd:3391,Complete,UMD_IMAGE,umd:3636,hdl:1903.1/1882,Cover of a Basketball Game Day program from Nov-Dec 1994.
umd:3391,Complete,UMD_IMAGE,umd:3638,hdl:1903.1/1883,"Maryland vs. Virginia men's basketball program cover, December 2, 1955"
umd:3391,Complete,UMD_IMAGE,umd:3674,hdl:1903.1/1901,"Maryland vs. Clemson football program cover, October 4, 1958"
umd:3391,Complete,UMD_IMAGE,umd:3731,hdl:1903.1/1929,"Chemistry Lab, 1947"
umd:3391,Complete,UMD_IMAGE,umd:3733,hdl:1903.1/1930,"Typing Instructor with Student, 1947"
umd:3391,Complete,UMD_IMAGE,umd:3735,hdl:1903.1/1931,"Gymkana Troupe, 1951"
umd:3391,Complete,UMD_IMAGE,umd:3737,hdl:1903.1/1932,"Veteran Family Scene, 1947"
umd:3391,Complete,UMD_IMAGE,umd:3739,hdl:1903.1/1933,"Men's Dorm Under Construction, ca. 1941-1950"
umd:3391,Complete,UMD_IMAGE,umd:3741,hdl:1903.1/1934,"Girls Reading in a Dormitory Room, 1947"
umd:3391,Complete,UMD_IMAGE,umd:3745,hdl:1903.1/1936,"An Aerial View of Campus, 1960"
umd:3391,Complete,UMD_IMAGE,umd:3753,hdl:1903.1/1940,"Benjamin Hallowell, ca. 1850-1860"
umd:3391,Complete,UMD_IMAGE,umd:3769,hdl:1903.1/1948,"Three Students in an Early Maryland Agricultural College Chemistry Lab, ca. 1900-1912"
umd:3391,Complete,UMD_IMAGE,umd:3775,hdl:1903.1/1951,"President Dan Mote in Regalia, 1999"
umd:3391,Complete,UMD_IMAGE,umd:3787,hdl:1903.1/1957,"Cole Field House construction, University of Maryland, June 3, 1954"
umd:3392,Complete,UMD_IMAGE,umd:3809,hdl:1903.1/1968,"Kindergarten Girl Reading, Hamburg, 1952"
umd:3391,Complete,UMD_IMAGE,umd:3878,hdl:1903.1/2003,"Two students in a chemistry lab, University of Maryland, 1940"
umd:3391,Complete,UMD_IMAGE,umd:3900,hdl:1903.1/2014,"Men's Lacrosse Team, 1910"
umd:3391,Complete,UMD_IMAGE,umd:3902,hdl:1903.1/2015,"Women's basketball team, University of Maryland, 1927"
umd:3391,Complete,UMD_IMAGE,umd:3904,hdl:1903.1/2016,"Gene Shue, 1953"
umd:3391,Complete,UMD_IMAGE,umd:3951,hdl:1903.1/2037,"Marching Band on Field During Half-Time, 1965"
umd:3391,Complete,UMD_IMAGE,umd:3965,hdl:1903.1/2044,"Drum Major on Football Field, 1973"
umd:3391,Complete,UMD_IMAGE,umd:3971,hdl:1903.1/2047,"Physics student in lab, University of Maryland, circa 1971-1985"
umd:3391,Complete,UMD_IMAGE,umd:3994,hdl:1903.1/2058,"Cheerleaders in a Pyramid, 1984"
umd:3391,Complete,UMD_IMAGE,umd:4014,hdl:1903.1/2068,"Buddy Beardmore, Lacrosse Team Captain, and NCAA Trophy, 22 February 1974"
umd:3391,Complete,UMD_IMAGE,umd:4016,hdl:1903.1/2069,"Men's Lacrosse Team, 1974, select team members"
umd:3391,Complete,UMD_IMAGE,umd:4018,hdl:1903.1/2070,"Men's Lacrosse Team, 1974"
umd:3391,Complete,UMD_IMAGE,umd:4042,hdl:1903.1/2082,"Reveille Staff Picture, 1911"
umd:3391,Complete,UMD_IMAGE,umd:4056,hdl:1903.1/2089,"Madrigal Singers Rehearsal, ca. 1960-1961"
umd:3391,Complete,UMD_IMAGE,umd:4071,hdl:1903.1/2097,"Alpha Chi Omega Sisters in a Group Portrait, 1953"
umd:3391,Complete,UMD_IMAGE,umd:4089,hdl:1903.1/2106,"Jim Tatum accepts the National Championship Trophy, 1954"
umd:3391,Complete,UMD_IMAGE,umd:4095,hdl:1903.1/2109,"Male Student at a Protest, 1969"
umd:3391,Complete,UMD_IMAGE,umd:4097,hdl:1903.1/2110,"Demonstration in front of McKeldin Library, 1969"
umd:3391,Complete,UMD_IMAGE,umd:4099,hdl:1903.1/2111,"Close up shot of a Demonstration in front of McKeldin Library, 1969"
umd:3391,Complete,UMD_IMAGE,umd:4115,hdl:1903.1/2119,"H.J. Patterson Hall, University of Maryland, 1965"
umd:3391,Complete,UMD_IMAGE,umd:4323,hdl:1903.1/2223,"Map of Campus, 1941"
umd:3391,Complete,UMD_IMAGE,umd:4325,hdl:1903.1/2224,"Map of Campus, 1934"
umd:3391,Complete,UMD_IMAGE,umd:4327,hdl:1903.1/2225,"Map of Campus, 1906"
umd:3391,Complete,UMD_IMAGE,umd:4329,hdl:1903.1/2226,"Map of Campus, 1927"
umd:3391,Complete,UMD_IMAGE,umd:4337,hdl:1903.1/2230,"Botany Class at Maryland Agricultural College, 1899"
umd:3391,Complete,UMD_IMAGE,umd:4347,hdl:1903.1/2235,"Len Bias performing a reverse dunk, 1984-1985"
umd:3391,Complete,UMD_IMAGE,umd:4349,hdl:1903.1/2236,"Basketball Players High-Fiving, ca. 1984-1985"
umd:3391,Complete,UMD_IMAGE,umd:4355,hdl:1903.1/2239,"Cadets in Uniform, with Commandant, 1890"
umd:3391,Complete,UMD_IMAGE,umd:4367,hdl:1903.1/2244,"Tom McMillen shooting a Basketball, 1970"
umd:3391,Complete,UMD_IMAGE,umd:4399,hdl:1903.1/2260,"Campus Aerial Photo, ca. 1951-1959"
umd:3391,Complete,UMD_IMAGE,umd:4409,hdl:1903.1/2265,"Students Playing and Relaxing on Engineering Fields, ca. 1951-1959"
umd:3391,Complete,UMD_IMAGE,umd:4411,hdl:1903.1/2266,"Bill White and his College Park store with gas pump, 1920"
umd:3391,Complete,UMD_IMAGE,umd:4413,hdl:1903.1/2267,Interior view of Cole Field House
umd:3391,Complete,UMD_IMAGE,umd:4415,hdl:1903.1/2268,"Maryland Agricultural College Cadets Marching Near Morrill Hall, ca. 1911-1920"
umd:3391,Complete,UMD_IMAGE,umd:4421,hdl:1903.1/2271,"Student Exiting Glenn L. Martin Building, circa 1959-1969"
umd:3391,Complete,UMD_IMAGE,umd:4423,hdl:1903.1/2272,"Horticulture Student Trimming a Tree at Maryland Agricultural College, ca. 1900-1910"
umd:3391,Complete,UMD_IMAGE,umd:4425,hdl:1903.1/2273,"Corn Farmers Posing for Portrait at the Agricultural Experiment Station, ca. 1900-1910"
umd:3391,Complete,UMD_IMAGE,umd:4427,hdl:1903.1/2274,"Civil Engineering Students with Professor, ca. 1890-1910"
umd:3391,Complete,UMD_IMAGE,umd:4447,hdl:1903.1/2283,"Boomer Esiason with football in hand, University of Maryland football, circa 1980-1984"
umd:3392,Complete,UMD_IMAGE,umd:4449,hdl:1903.1/2284,"Letter from John T. Whalen to his mother, Mrs. Frank Whalen, 21 August 1917"
umd:3392,Complete,UMD_IMAGE,umd:4453,hdl:1903.1/2285,"Letter from John T. Whalen to his Mother, Mrs. Frank Whalen, September 11, 1917"
umd:3391,Complete,UMD_IMAGE,umd:4472,hdl:1903.1/2293,"Students painting in an art studio, University of Maryland, circa 1968-1979"
umd:3391,Complete,UMD_IMAGE,umd:4680,hdl:1903.1/2389,"Maryland vs. Florida Football Program Cover, 2002"
umd:3391,Complete,UMD_IMAGE,umd:4684,hdl:1903.1/2391,"Pitcher Derek Hoffman winds up, University of Maryland baseball, circa 2002-2003"
umd:3391,Complete,UMD_IMAGE,umd:4691,hdl:1903.1/2394,"Kyle Rockefeller tagging out a runner, University of Maryland baseball, 1997"
umd:3391,Complete,UMD_IMAGE,umd:4707,hdl:1903.1/2401,"Portrait of President William E. Kirwan at his desk, ca. 1990-2000"
umd:3391,Complete,UMD_IMAGE,umd:4709,hdl:1903.1/2402,"President William E. Kirwan in Academic Regalia at Graduation, ca. 1990-2000"
umd:3391,Complete,UMD_IMAGE,umd:4711,hdl:1903.1/2403,"William E. Kirwan with Baltimore Oriole and Testudo Mascots, ca. 1990-2000"
umd:3391,Complete,UMD_IMAGE,umd:4713,hdl:1903.1/2404,"Math Department Faculty, Including Dr. William E. Kirwan, ca. 1960-1970"
umd:3391,Complete,UMD_IMAGE,umd:4715,hdl:1903.1/2405,"A Young William E. Kirwan, ca. 1960-1975"
umd:3391,Complete,UMD_IMAGE,umd:4720,hdl:1903.1/2408,"Chris Weller coaching, 1994"
umd:3391,Complete,UMD_IMAGE,umd:4722,hdl:1903.1/2409,"Len Bias Attempting a Jump Shot over Michael Jordan, ca. 1983-1984"
umd:3392,Complete,UMD_IMAGE,umd:4724,hdl:1903.1/2410,"Letter from John T. Whalen to his mother, 12 September 1917"
umd:3392,Complete,UMD_IMAGE,umd:4727,hdl:1903.1/2411,"Letter from John T. Whalen to his mother, 21 September 1917"
umd:3392,Complete,UMD_IMAGE,umd:4732,hdl:1903.1/2412,"Letter from John T. Whalen to his mother, 24 September 1917"
umd:3392,Complete,UMD_IMAGE,umd:4735,hdl:1903.1/2413,"Letter from John T. Whalen to his mother, 25 September 1917"
umd:3392,Complete,UMD_IMAGE,umd:4738,hdl:1903.1/2414,"Letter from John T. Whalen to his mother, 26 September 1917"
umd:3392,Complete,UMD_IMAGE,umd:4741,hdl:1903.1/2415,"Letter from John T. Whalen to his mother, 27 September 1917"
umd:3392,Complete,UMD_IMAGE,umd:4745,hdl:1903.1/2416,"Letter from John T. Whalen to his mother, 28 September 1917"
umd:3392,Complete,UMD_IMAGE,umd:4750,hdl:1903.1/2417,"Letter from John T. Whalen to his mother, 2 October 1917"
umd:3392,Complete,UMD_IMAGE,umd:4754,hdl:1903.1/2418,"Letter from John T. Whalen to his mother, 4 October 1917"
umd:3392,Complete,UMD_IMAGE,umd:4759,hdl:1903.1/2419,"Letter from John T. Whalen to his mother, 5 October 1917"
umd:3392,Complete,UMD_IMAGE,umd:4764,hdl:1903.1/2420,"Letter from John T. Whalen to his mother, 8 October 1917"
umd:3392,Complete,UMD_IMAGE,umd:4769,hdl:1903.1/2421,"Letter from John T. Whalen to his mother, 12 October 1917"
umd:3392,Complete,UMD_IMAGE,umd:4773,hdl:1903.1/2422,"Letter from John T. Whalen to his mother, 15 October 1917"
umd:3392,Complete,UMD_IMAGE,umd:4776,hdl:1903.1/2423,"Letter from John T. Whalen to his mother, 22 October 1917"
umd:3392,Complete,UMD_IMAGE,umd:4780,hdl:1903.1/2424,"Letter from John T. Whalen to his mother, 23 October 1917"
umd:3392,Complete,UMD_IMAGE,umd:4784,hdl:1903.1/2425,"Letter from John T. Whalen to his mother, 3 November 1917"
umd:3392,Complete,UMD_IMAGE,umd:4787,hdl:1903.1/2426,"Letter from John T. Whalen to his mother, 6 November 1917"
umd:3392,Complete,UMD_IMAGE,umd:4793,hdl:1903.1/2427,"Letter from John T. Whalen to his mother, 16 November 1917"
umd:3392,Complete,UMD_IMAGE,umd:4797,hdl:1903.1/2428,"Letter from John T. Whalen to his mother, 18 November 1917"
umd:3392,Complete,UMD_IMAGE,umd:4800,hdl:1903.1/2429,"Letter from John T. Whalen to his mother, 20 November 1917"
umd:3392,Complete,UMD_IMAGE,umd:4804,hdl:1903.1/2430,"Letter from John T. Whalen to his mother, 21 November 1917"
umd:3392,Complete,UMD_IMAGE,umd:4808,hdl:1903.1/2431,"Letter from John T. Whalen to his mother, 22 November 1917"
umd:3392,Complete,UMD_IMAGE,umd:4810,hdl:1903.1/2432,"Letter from John T. Whalen to his mother, 23 November 1917"
umd:3392,Complete,UMD_IMAGE,umd:4814,hdl:1903.1/2433,"Letter from John T. Whalen to his mother, 3 December 1917"
umd:3392,Complete,UMD_IMAGE,umd:4818,hdl:1903.1/2434,"Letter from John T. Whalen to his mother, 5 December 1917"
umd:3392,Complete,UMD_IMAGE,umd:4821,hdl:1903.1/2435,"Letter from John T. Whalen to his mother, 10 December 1917"
umd:3392,Complete,UMD_IMAGE,umd:4826,hdl:1903.1/2436,"Letter from John T. Whalen to his mother, 11 December 1917"
umd:3392,Complete,UMD_IMAGE,umd:4829,hdl:1903.1/2437,"Letter from John T. Whalen to his mother, 12 December 1917"
umd:3392,Complete,UMD_IMAGE,umd:4832,hdl:1903.1/2438,"Letter from John T. Whalen to his Mother, 13 December 1917"
umd:3392,Complete,UMD_IMAGE,umd:4840,hdl:1903.1/2441,"Letter from John T. Whalen to his mother, 14 December 1917"
umd:3392,Complete,UMD_IMAGE,umd:4842,hdl:1903.1/2442,"Letter from John T. Whalen to his mother, 15 December 1917"
umd:3392,Complete,UMD_IMAGE,umd:4846,hdl:1903.1/2443,"Letter from John T. Whalen to his mother, 17 December 1917"
umd:3392,Complete,UMD_IMAGE,umd:4848,hdl:1903.1/2444,"Letter from John T. Whalen to his mother, 18 December 1917"
umd:3392,Complete,UMD_IMAGE,umd:4852,hdl:1903.1/2446,"Letter from John T. Whalen to his mother, 26 January 1918"
umd:3392,Complete,UMD_IMAGE,umd:4856,hdl:1903.1/2447,"Letter from John T. Whalen to his mother, 31 January 1918"
umd:3391,Complete,UMD_IMAGE,umd:4860,hdl:1903.1/2448,"Bob Wade, ca. 1980-1989"
umd:3392,Complete,UMD_IMAGE,umd:4864,hdl:1903.1/2450,"Letter from John T. Whalen to his mother, 15 May 1918"
umd:3391,Complete,UMD_IMAGE,umd:4868,hdl:1903.1/2451,"Diamondback Front Page, Sports Front Page, and Back Covers for April 1, 2002"
umd:3392,Complete,UMD_IMAGE,umd:4873,hdl:1903.1/2452,"Letter from John T. Whalen to his mother, 23 May 1918"
umd:3392,Complete,UMD_IMAGE,umd:4879,hdl:1903.1/2454,"Letter from John T. Whalen to his mother, 19 June 1918"
umd:3392,Complete,UMD_IMAGE,umd:4883,hdl:1903.1/2455,"Letter from John T. Whalen to his mother, 1 July 1918"
umd:3392,Complete,UMD_IMAGE,umd:4887,hdl:1903.1/2456,"Letter from John T. Whalen to his mother, 10 July 1918"
umd:3392,Complete,UMD_IMAGE,umd:4892,hdl:1903.1/2458,"Letter from John T. Whalen to his mother, 16 August 1918"
umd:3391,Complete,UMD_IMAGE,umd:4911,hdl:1903.1/2460,"Charter for the UMCP chapter of Mortar Board, 1934"
umd:3391,Complete,UMD_IMAGE,umd:4915,hdl:1903.1/2462,"Sheet Music for ""Hail! Alma Mater"", 1940"
umd:3391,Complete,UMD_IMAGE,umd:4917,hdl:1903.1/2463,"Diamondback Front and Back Covers for April 2, 2002"
umd:3391,Complete,UMD_IMAGE,umd:4922,hdl:1903.1/2464,"Commencement Program Cover, 19 May 1978"
umd:3391,Complete,UMD_IMAGE,umd:4975,hdl:1903.1/2481,"Ernest Graham Attempting to Block a Jump Shot, 2 April 1980"
umd:3392,Complete,UMD_IMAGE,umd:5012,hdl:1903.1/2492,"Letter from John T. Whalen to his mother, 21 August 1918"
umd:3392,Complete,UMD_IMAGE,umd:5016,hdl:1903.1/2493,"Letter from John T. Whalen to his mother, 11 September 1918"
umd:3392,Complete,UMD_IMAGE,umd:5020,hdl:1903.1/2494,"Letter from John T. Whalen to his Mother, 21 September 1918"
umd:3392,Complete,UMD_IMAGE,umd:5025,hdl:1903.1/2496,"Letter from John T. Whalen to his mother, 5 October 1918"
umd:3392,Complete,UMD_IMAGE,umd:5030,hdl:1903.1/2497,"Letter from John T. Whalen to his mother, October 1918"
umd:3392,Complete,UMD_IMAGE,umd:5033,hdl:1903.1/2498,"Letter from John T. Whalen to his mother, 23 October 1918"
umd:3392,Complete,UMD_IMAGE,umd:5038,hdl:1903.1/2499,"Letter from John T. Whalen to his mother, 3 November 1918"
umd:3392,Complete,UMD_IMAGE,umd:5042,hdl:1903.1/2500,"Letter from John T. Whalen to Rebekah, 3 November 1918"
umd:3392,Complete,UMD_IMAGE,umd:5044,hdl:1903.1/2501,"Letter from John T. Whalen to his mother, 26 October 1918"
umd:3392,Complete,UMD_IMAGE,umd:5049,hdl:1903.1/2502,"Letter from John T. Whalen to his mother, 6 November 1918"
umd:3392,Complete,UMD_IMAGE,umd:5052,hdl:1903.1/2503,"Medical receipt for John T. Whalen, 1 May 1919"
umd:3391,Complete,UMD_IMAGE,umd:5129,hdl:1903.1/2526,"Route 1, ca. 1935-1948"
umd:3391,Complete,UMD_IMAGE,umd:5185,hdl:1903.1/2544,"Veterans in Line for Registration, ca. 1940-1949"
umd:3391,Complete,UMD_IMAGE,umd:5218,hdl:1903.1/2559,"Bud Millikan with Gene Shue, ca. 1953-1967"
umd:3391,Complete,UMD_IMAGE,umd:5220,hdl:1903.1/2560,"Men's Basketball Team, 1964"
umd:3391,Complete,UMD_IMAGE,umd:5224,hdl:1903.1/2562,"Louis Berger in a shooting pose, ca. 1928-1932"
umd:3391,Complete,UMD_IMAGE,umd:5243,hdl:1903.1/2571,"Byrd Stadium Aerial View, 1950"
umd:3391,Complete,UMD_IMAGE,umd:5245,hdl:1903.1/2572,"Construction of Byrd Stadium, 1 September 1950"
umd:3391,Complete,UMD_IMAGE,umd:5281,hdl:1903.1/2590,"Mike Jones attempting a layup, ca. 2004-2005"
umd:3391,Complete,UMD_IMAGE,umd:5283,hdl:1903.1/2591,"Ekene Ibekwe blocks a shot by Duke basketball player Shelden Williams, ca. 2004-2005."
umd:3391,Complete,UMD_IMAGE,umd:5297,hdl:1903.1/2598,"Track Team Group Photo, 1965"
umd:3392,Complete,UMD_BOOK,umd:5328,hdl:1903.1/2613,"Diary of Susan Mathiot Gale, March 14, 1859 to July 18, 1869"
umd:3391,Complete,UMD_IMAGE,umd:5497,hdl:1903.1/2623,"Dean Adele Stamp at her desk, University of Maryland, circa 1951-1960"
umd:3391,Complete,UMD_IMAGE,umd:5503,hdl:1903.1/2626,Women students of the University of Maryland Class of 1929
umd:3391,Complete,UMD_IMAGE,umd:5515,hdl:1903.1/2632,"Baseball Team, 1909"
umd:3391,Complete,UMD_IMAGE,umd:5542,hdl:1903.1/2645,"Old Engineering Building, 1918"
umd:3391,Complete,UMD_IMAGE,umd:5548,hdl:1903.1/2648,"Kirwan on the McKeldin Mall, ca. 1980-2000"
umd:3391,Complete,UMD_IMAGE,umd:5558,hdl:1903.1/2653,"Charles Benedict Calvert's Maryland Agricultural College Stock Certificate, 1858"
umd:3391,Complete,UMD_IMAGE,umd:5563,hdl:1903.1/2655,"Glen W. Patterson at a chemistry bench, University of Maryland, circa 1960-1976"
umd:3391,Complete,UMD_IMAGE,umd:5599,hdl:1903.1/2673,"Women's Lacrosse Wins the National Championship, May 17, 1998"
umd:3391,Complete,UMD_IMAGE,umd:5656,hdl:1903.1/2701,"Cambridge Community North Campus Dorms, Aerial View, ca. 1960-1975"
umd:3391,Complete,UMD_IMAGE,umd:5662,hdl:1903.1/2704,"Arts and Sciences Building, ca. 1936-1937"
umd:3391,Complete,UMD_IMAGE,umd:5670,hdl:1903.1/2708,"Crowd at Byrd Stadium, ca.1990-1999"
umd:3391,Complete,UMD_IMAGE,umd:5676,hdl:1903.1/2711,"Roy Mackert of Maryland Agricultural College vs. Johns Hopkins Football Game, 1919"
umd:3391,Complete,UMD_IMAGE,umd:5704,hdl:1903.1/2725,"Gail Berman, Acting, 1978"
umd:3391,Complete,UMD_IMAGE,umd:5730,hdl:1903.1/2738,"Margo Lucey & Rudy Pugilese, 1957"
umd:3391,Complete,UMD_IMAGE,umd:5732,hdl:1903.1/2739,"Buck Williams Undercutting During a Basketball Game, 1980"
umd:3391,Complete,UMD_IMAGE,umd:5737,hdl:1903.1/2740,"Albert King Shooting a Basket, 1980"
umd:3391,Complete,UMD_IMAGE,umd:5755,hdl:1903.1/2748,Barracks and Campus
umd:3391,Complete,UMD_IMAGE,umd:5787,hdl:1903.1/2764,"Steve Blake dribbling basketball, 2 December 2000"
umd:3391,Complete,UMD_IMAGE,umd:5883,hdl:1903.1/2774,"Testudo Smoking a Pipe, ca. 1934-1935"
umd:3391,Complete,UMD_IMAGE,umd:5885,hdl:1903.1/2775,"Frank Cronin at the All-Maryland Golf Day, 1957"
umd:3391,Complete,UMD_IMAGE,umd:5891,hdl:1903.1/2776,"Golf course dedication, 1959"
umd:3391,Complete,UMD_IMAGE,umd:5894,hdl:1903.1/2777,"Golf Course Scenes, 1988"
umd:3391,Complete,UMD_IMAGE,umd:5900,hdl:1903.1/2780,"Terrapin Rocket Project Staff, October 1956"
umd:3391,Complete,UMD_IMAGE,umd:5902,hdl:1903.1/2781,"Terrapin Rocket Airborne, October 1956"
umd:3391,Complete,UMD_IMAGE,umd:5904,hdl:1903.1/2782,Terrapin Rocket Project Staff at Work
umd:3391,Complete,UMD_IMAGE,umd:5906,hdl:1903.1/2783,"Chris Patton jumping for the basketball, 1974"
umd:3391,Complete,UMD_IMAGE,umd:5924,hdl:1903.1/2792,"People eating ice-cream outside Turner Hall, 1965"
umd:3391,Complete,UMD_IMAGE,umd:5974,hdl:1903.1/2817,"Ritchie Gymnasium, also known as Annapolis Hall, 1924"
umd:3391,Complete,UMD_IMAGE,umd:5976,hdl:1903.1/2818,"Ritchie Coliseum, 1932"
umd:3391,Complete,UMD_IMAGE,umd:5978,hdl:1903.1/2819,"Preinkert Fieldhouse, ca. 1931-1940"
umd:3391,Complete,UMD_IMAGE,umd:5981,hdl:1903.1/2820,"Preinkert Fieldhouse Door, ca. 1931-1940"
umd:3391,Complete,UMD_IMAGE,umd:5983,hdl:1903.1/2821,"Old Library/Gym Building, 1893"
umd:3391,Complete,UMD_IMAGE,umd:5985,hdl:1903.1/2822,"Armory Through the Class of 1910 Gate, 1948"
umd:3391,Complete,UMD_IMAGE,umd:5989,hdl:1903.1/2824,"Old Ritchie Gymnasium, also known as Annapolis Hall, 1936"
umd:3391,Complete,UMD_IMAGE,umd:5991,hdl:1903.1/2825,"College Barracks, Panorama"
umd:3391,Complete,UMD_IMAGE,umd:6022,hdl:1903.1/2838,"Chuck Driesell dribbling a basketball, 1984"
umd:3391,Complete,UMD_IMAGE,umd:6024,hdl:1903.1/2839,"Chuck Driesell, ca. 1983"
umd:3391,Complete,UMD_IMAGE,umd:6026,hdl:1903.1/2840,"Chuck Driesell passing a basketball, 1983"
umd:3391,Complete,UMD_IMAGE,umd:6032,hdl:1903.1/2843,"Chuck Driesell guards a Duke basketball player, ca. 1981-82"
umd:3391,Complete,UMD_IMAGE,umd:6064,hdl:1903.1/2858,"Jim Henson with Kermit and Sweetums, University of Maryland, November 3, 1979"
